hr;weekdays;cnt
22;Dienstag;394
23;Dienstag;240
0;Mittwoch;103
1;Mittwoch;76
2;Mittwoch;41
3;Mittwoch;28
4;Mittwoch;34
5;Mittwoch;87
6;Mittwoch;564
7;Mittwoch;1766
8;Mittwoch;3455
9;Mittwoch;1728
10;Mittwoch;752
11;Mittwoch;699
12;Mittwoch;908
13;Mittwoch;953
14;Mittwoch;900
15;Mittwoch;1028
16;Mittwoch;1373
17;Mittwoch;2691
18;Mittwoch;2609
19;Mittwoch;1543
20;Mittwoch;971
21;Mittwoch;598
22;Mittwoch;478
23;Mittwoch;241
0;Donnerstag;181
1;Donnerstag;68
2;Donnerstag;50
3;Donnerstag;33
4;Donnerstag;30
5;Donnerstag;95
6;Donnerstag;549
7;Donnerstag;1777
8;Donnerstag;3881
9;Donnerstag;1905
10;Donnerstag;920
11;Donnerstag;817
12;Donnerstag;1093
13;Donnerstag;1104
14;Donnerstag;1006
15;Donnerstag;1119
16;Donnerstag;1438
17;Donnerstag;2674
18;Donnerstag;2594
19;Donnerstag;1503
20;Donnerstag;840
21;Donnerstag;666
22;Donnerstag;494
23;Donnerstag;349
0;Freitag;171
1;Freitag;113
2;Freitag;70
3;Freitag;51
4;Freitag;36
5;Freitag;96
6;Freitag;506
7;Freitag;1574
8;Freitag;3501
9;Freitag;1905
10;Freitag;856
11;Freitag;820
12;Freitag;1077
13;Freitag;1028
14;Freitag;914
15;Freitag;1003
16;Freitag;1425
17;Freitag;2484
18;Freitag;1999
19;Freitag;1182
20;Freitag;705
21;Freitag;493
22;Freitag;409
23;Freitag;401
0;Samstag;317
1;Samstag;264
2;Samstag;159
3;Samstag;136
4;Samstag;101
5;Samstag;52
6;Samstag;76
7;Samstag;178
8;Samstag;365
9;Samstag;600
10;Samstag;738
11;Samstag;625
12;Samstag;702
13;Samstag;825
14;Samstag;819
15;Samstag;834
16;Samstag;728
17;Samstag;573
18;Samstag;484
19;Samstag;411
20;Samstag;274
21;Samstag;232
22;Samstag;183
23;Samstag;193
0;Sonntag;209
1;Sonntag;137
2;Sonntag;95
3;Sonntag;92
4;Sonntag;51
5;Sonntag;49
6;Sonntag;66
7;Sonntag;119
8;Sonntag;227
9;Sonntag;481
10;Sonntag;849
11;Sonntag;1271
12;Sonntag;1389
13;Sonntag;1443
14;Sonntag;1409
15;Sonntag;1332
16;Sonntag;1310
17;Sonntag;992
18;Sonntag;670
19;Sonntag;507
20;Sonntag;367
21;Sonntag;257
22;Sonntag;235
23;Sonntag;140
0;Montag;99
1;Montag;65
2;Montag;39
3;Montag;18
4;Montag;24
5;Montag;88
6;Montag;453
7;Montag;1506
8;Montag;3352
9;Montag;1741
10;Montag;704
11;Montag;662
12;Montag;860
13;Montag;902
14;Montag;869
15;Montag;978
16;Montag;1182
17;Montag;2683
18;Montag;2462
19;Montag;1356
20;Montag;752
21;Montag;469
22;Montag;329
23;Montag;196
0;Dienstag;93
1;Dienstag;57
2;Dienstag;33
3;Dienstag;12
4;Dienstag;22
5;Dienstag;93
6;Dienstag;526
7;Dienstag;1740
8;Dienstag;3552
9;Dienstag;1731
10;Dienstag;856
11;Dienstag;827
12;Dienstag;1063
13;Dienstag;1092
14;Dienstag;1004
15;Dienstag;1146
16;Dienstag;1457
17;Dienstag;2765
18;Dienstag;2488
19;Dienstag;1538
20;Dienstag;885
21;Dienstag;675
22;Dienstag;464
23;Dienstag;267
0;Mittwoch;125
1;Mittwoch;57
2;Mittwoch;37
3;Mittwoch;27
4;Mittwoch;26
5;Mittwoch;94
6;Mittwoch;529
7;Mittwoch;1814
8;Mittwoch;3635
9;Mittwoch;1654
10;Mittwoch;830
11;Mittwoch;716
12;Mittwoch;970
13;Mittwoch;922
14;Mittwoch;831
15;Mittwoch;899
16;Mittwoch;1081
17;Mittwoch;1860
18;Mittwoch;1283
19;Mittwoch;675
20;Mittwoch;328
21;Mittwoch;273
22;Mittwoch;207
23;Mittwoch;161
0;Donnerstag;88
1;Donnerstag;59
2;Donnerstag;23
3;Donnerstag;28
4;Donnerstag;26
5;Donnerstag;88
6;Donnerstag;479
7;Donnerstag;1634
8;Donnerstag;3380
9;Donnerstag;1772
10;Donnerstag;868
11;Donnerstag;781
12;Donnerstag;1026
13;Donnerstag;1004
14;Donnerstag;957
15;Donnerstag;1071
16;Donnerstag;1469
17;Donnerstag;2616
18;Donnerstag;2456
19;Donnerstag;1357
20;Donnerstag;870
21;Donnerstag;616
22;Donnerstag;466
23;Donnerstag;383
0;Freitag;172
1;Freitag;96
2;Freitag;63
3;Freitag;51
4;Freitag;41
5;Freitag;89
6;Freitag;421
7;Freitag;1406
8;Freitag;3214
9;Freitag;1764
10;Freitag;957
11;Freitag;959
12;Freitag;1256
13;Freitag;1259
14;Freitag;1131
15;Freitag;1095
16;Freitag;1288
17;Freitag;2318
18;Freitag;1768
19;Freitag;1045
20;Freitag;634
21;Freitag;451
22;Freitag;341
23;Freitag;354
0;Samstag;274
1;Samstag;180
2;Samstag;127
3;Samstag;99
4;Samstag;84
5;Samstag;53
6;Samstag;95
7;Samstag;171
9;Samstag;692
10;Samstag;1075
11;Samstag;1240
12;Samstag;1350
13;Samstag;775
14;Samstag;506
15;Samstag;423
16;Samstag;528
17;Samstag;684
18;Samstag;581
19;Samstag;471
20;Samstag;384
21;Samstag;328
22;Samstag;307
23;Samstag;318
0;Sonntag;298
1;Sonntag;278
2;Sonntag;206
3;Sonntag;146
4;Sonntag;107
5;Sonntag;67
6;Sonntag;70
7;Sonntag;143
8;Sonntag;240
9;Sonntag;446
10;Sonntag;822
11;Sonntag;1071
12;Sonntag;1337
13;Sonntag;1431
14;Sonntag;1504
15;Sonntag;1357
16;Sonntag;1320
17;Sonntag;1024
18;Sonntag;857
19;Sonntag;632
20;Sonntag;518
21;Sonntag;335
22;Sonntag;251
23;Sonntag;210
0;Montag;133
1;Montag;51
2;Montag;32
3;Montag;20
4;Montag;28
5;Montag;70
6;Montag;319
7;Montag;1386
8;Montag;3199
9;Montag;1335
10;Montag;410
11;Montag;447
12;Montag;657
13;Montag;752
14;Montag;725
15;Montag;864
16;Montag;1322
17;Montag;2832
18;Montag;2512
19;Montag;1468
20;Montag;795
21;Montag;555
22;Montag;365
23;Montag;186
0;Dienstag;106
1;Dienstag;69
2;Dienstag;42
3;Dienstag;20
4;Dienstag;29
5;Dienstag;103
6;Dienstag;621
7;Dienstag;2066
8;Dienstag;4051
9;Dienstag;1950
10;Dienstag;827
11;Dienstag;808
12;Dienstag;1032
13;Dienstag;1057
14;Dienstag;953
15;Dienstag;965
16;Dienstag;1493
17;Dienstag;3006
18;Dienstag;2665
19;Dienstag;1463
20;Dienstag;881
21;Dienstag;629
22;Dienstag;497
23;Dienstag;324
0;Mittwoch;150
1;Mittwoch;74
2;Mittwoch;49
3;Mittwoch;29
4;Mittwoch;37
5;Mittwoch;96
6;Mittwoch;591
7;Mittwoch;1962
8;Mittwoch;4019
9;Mittwoch;1880
10;Mittwoch;895
11;Mittwoch;827
12;Mittwoch;1068
13;Mittwoch;1082
14;Mittwoch;998
15;Mittwoch;1014
16;Mittwoch;1477
17;Mittwoch;2756
18;Mittwoch;2628
19;Mittwoch;1495
20;Mittwoch;901
21;Mittwoch;606
22;Mittwoch;504
23;Mittwoch;343
0;Donnerstag;168
1;Donnerstag;78
2;Donnerstag;46
3;Donnerstag;60
4;Donnerstag;34
5;Donnerstag;94
6;Donnerstag;563
7;Donnerstag;1882
8;Donnerstag;3867
9;Donnerstag;1948
10;Donnerstag;838
11;Donnerstag;721
12;Donnerstag;923
13;Donnerstag;993
14;Donnerstag;831
15;Donnerstag;937
16;Donnerstag;1410
17;Donnerstag;2637
18;Donnerstag;2424
19;Donnerstag;1468
20;Donnerstag;834
21;Donnerstag;601
22;Donnerstag;458
23;Donnerstag;359
0;Freitag;188
1;Freitag;110
2;Freitag;66
3;Freitag;60
4;Freitag;54
5;Freitag;105
6;Freitag;481
7;Freitag;1704
8;Freitag;3477
9;Freitag;1774
10;Freitag;864
11;Freitag;835
12;Freitag;1085
13;Freitag;1130
14;Freitag;1041
15;Freitag;1103
16;Freitag;1599
17;Freitag;2570
18;Freitag;2018
19;Freitag;1215
20;Freitag;698
21;Freitag;508
22;Freitag;459
23;Freitag;436
0;Samstag;350
1;Samstag;310
2;Samstag;201
3;Samstag;131
4;Samstag;75
5;Samstag;76
6;Samstag;92
7;Samstag;218
8;Samstag;408
9;Samstag;753
10;Samstag;941
11;Samstag;1194
12;Samstag;1251
13;Samstag;1353
14;Samstag;1253
15;Samstag;1140
16;Samstag;1228
17;Samstag;1004
18;Samstag;682
19;Samstag;655
20;Samstag;492
21;Samstag;304
22;Samstag;316
23;Samstag;318
0;Sonntag;269
1;Sonntag;231
2;Sonntag;175
3;Sonntag;132
4;Sonntag;68
5;Sonntag;53
6;Sonntag;65
7;Sonntag;124
8;Sonntag;230
9;Sonntag;505
10;Sonntag;830
11;Sonntag;1009
12;Sonntag;1330
13;Sonntag;1445
14;Sonntag;1399
15;Sonntag;1284
16;Sonntag;1202
17;Sonntag;964
18;Sonntag;662
19;Sonntag;466
20;Sonntag;353
21;Sonntag;267
22;Sonntag;209
23;Sonntag;179
0;Montag;71
1;Montag;48
2;Montag;33
3;Montag;24
4;Montag;35
5;Montag;94
6;Montag;513
7;Montag;1825
8;Montag;3775
9;Montag;1765
10;Montag;773
11;Montag;699
12;Montag;924
13;Montag;944
14;Montag;831
15;Montag;1023
16;Montag;1430
17;Montag;2868
18;Montag;2705
19;Montag;1463
20;Montag;862
21;Montag;536
22;Montag;257
23;Montag;87
0;Dienstag;29
1;Dienstag;14
2;Dienstag;16
3;Dienstag;14
4;Dienstag;32
5;Dienstag;85
6;Dienstag;563
7;Dienstag;1621
8;Dienstag;3514
9;Dienstag;1469
10;Dienstag;287
11;Dienstag;190
12;Dienstag;500
13;Dienstag;634
14;Dienstag;651
15;Dienstag;728
16;Dienstag;1321
17;Dienstag;2852
18;Dienstag;2586
19;Dienstag;1444
20;Dienstag;899
21;Dienstag;580
22;Dienstag;435
23;Dienstag;240
0;Mittwoch;135
1;Mittwoch;66
2;Mittwoch;24
3;Mittwoch;27
4;Mittwoch;34
5;Mittwoch;88
6;Mittwoch;588
7;Mittwoch;2013
8;Mittwoch;3542
9;Mittwoch;1654
10;Mittwoch;347
11;Mittwoch;359
12;Mittwoch;563
13;Mittwoch;595
14;Mittwoch;637
15;Mittwoch;691
16;Mittwoch;1238
17;Mittwoch;2646
18;Mittwoch;2446
19;Mittwoch;1216
20;Mittwoch;681
21;Mittwoch;557
22;Mittwoch;337
23;Mittwoch;151
0;Donnerstag;115
1;Donnerstag;52
2;Donnerstag;52
3;Donnerstag;28
4;Donnerstag;35
5;Donnerstag;87
6;Donnerstag;559
7;Donnerstag;1900
8;Donnerstag;3794
9;Donnerstag;2000
10;Donnerstag;921
11;Donnerstag;822
12;Donnerstag;1033
13;Donnerstag;1078
14;Donnerstag;973
15;Donnerstag;994
16;Donnerstag;1487
17;Donnerstag;2659
18;Donnerstag;2395
19;Donnerstag;1363
20;Donnerstag;870
21;Donnerstag;569
22;Donnerstag;370
23;Donnerstag;260
0;Freitag;117
1;Freitag;44
2;Freitag;39
3;Freitag;41
4;Freitag;41
5;Freitag;93
6;Freitag;503
7;Freitag;1660
8;Freitag;3530
9;Freitag;1845
10;Freitag;945
11;Freitag;876
12;Freitag;1196
13;Freitag;1218
14;Freitag;1055
15;Freitag;1222
16;Freitag;1558
17;Freitag;2733
18;Freitag;2071
19;Freitag;1218
20;Freitag;695
21;Freitag;518
22;Freitag;375
23;Freitag;377
0;Samstag;303
1;Samstag;193
2;Samstag;150
3;Samstag;99
4;Samstag;71
5;Samstag;50
6;Samstag;78
7;Samstag;211
8;Samstag;465
9;Samstag;665
10;Samstag;668
11;Samstag;797
12;Samstag;1075
13;Samstag;978
14;Samstag;920
15;Samstag;1083
16;Samstag;1059
17;Samstag;1003
18;Samstag;596
19;Samstag;531
20;Samstag;385
21;Samstag;284
22;Samstag;290
23;Samstag;261
0;Sonntag;284
1;Sonntag;194
2;Sonntag;147
3;Sonntag;94
4;Sonntag;67
5;Sonntag;52
6;Sonntag;78
7;Sonntag;115
8;Sonntag;271
9;Sonntag;568
10;Sonntag;945
11;Sonntag;1195
12;Sonntag;1434
13;Sonntag;1403
14;Sonntag;1229
15;Sonntag;799
16;Sonntag;732
17;Sonntag;771
18;Sonntag;618
19;Sonntag;436
20;Sonntag;379
21;Sonntag;331
22;Sonntag;223
23;Sonntag;145
0;Montag;100
1;Montag;45
2;Montag;20
3;Montag;18
4;Montag;22
5;Montag;103
6;Montag;523
7;Montag;1873
8;Montag;3690
9;Montag;1756
10;Montag;710
11;Montag;658
12;Montag;806
13;Montag;823
14;Montag;727
15;Montag;793
16;Montag;1220
17;Montag;2742
18;Montag;2654
19;Montag;1458
20;Montag;877
21;Montag;515
22;Montag;355
23;Montag;184
0;Dienstag;108
1;Dienstag;72
2;Dienstag;32
3;Dienstag;20
4;Dienstag;26
5;Dienstag;101
6;Dienstag;631
7;Dienstag;2106
8;Dienstag;3878
9;Dienstag;1882
10;Dienstag;745
11;Dienstag;655
12;Dienstag;881
13;Dienstag;880
14;Dienstag;804
15;Dienstag;817
16;Dienstag;1435
17;Dienstag;2581
18;Dienstag;2279
19;Dienstag;1240
20;Dienstag;757
21;Dienstag;566
22;Dienstag;391
23;Dienstag;242
0;Mittwoch;108
1;Mittwoch;48
2;Mittwoch;28
3;Mittwoch;17
4;Mittwoch;16
5;Mittwoch;57
6;Mittwoch;282
7;Mittwoch;1389
8;Mittwoch;2888
9;Mittwoch;1581
10;Mittwoch;787
11;Mittwoch;634
12;Mittwoch;667
13;Mittwoch;804
14;Mittwoch;578
15;Mittwoch;526
16;Mittwoch;894
17;Mittwoch;2420
18;Mittwoch;2204
19;Mittwoch;1196
20;Mittwoch;762
21;Mittwoch;629
22;Mittwoch;405
23;Mittwoch;222
0;Donnerstag;147
1;Donnerstag;86
2;Donnerstag;47
3;Donnerstag;35
4;Donnerstag;45
5;Donnerstag;105
6;Donnerstag;518
7;Donnerstag;1807
8;Donnerstag;3518
9;Donnerstag;1681
10;Donnerstag;766
11;Donnerstag;732
12;Donnerstag;908
13;Donnerstag;945
14;Donnerstag;840
15;Donnerstag;975
16;Donnerstag;1412
17;Donnerstag;2656
18;Donnerstag;2549
19;Donnerstag;1402
20;Donnerstag;840
21;Donnerstag;600
22;Donnerstag;568
23;Donnerstag;322
0;Freitag;180
1;Freitag;106
2;Freitag;61
3;Freitag;52
4;Freitag;51
5;Freitag;106
6;Freitag;509
7;Freitag;1718
8;Freitag;3472
9;Freitag;1905
10;Freitag;958
11;Freitag;943
12;Freitag;871
13;Freitag;603
14;Freitag;477
15;Freitag;576
16;Freitag;917
17;Freitag;2045
18;Freitag;2115
19;Freitag;1195
20;Freitag;709
21;Freitag;497
22;Freitag;442
23;Freitag;385
0;Samstag;295
1;Samstag;251
2;Samstag;149
3;Samstag;139
4;Samstag;79
5;Samstag;60
6;Samstag;103
7;Samstag;172
8;Samstag;439
9;Samstag;783
10;Samstag;1223
11;Samstag;1583
12;Samstag;2090
13;Samstag;2143
14;Samstag;2302
15;Samstag;2196
16;Samstag;1998
17;Samstag;1705
18;Samstag;1244
19;Samstag;830
20;Samstag;613
21;Samstag;423
22;Samstag;383
23;Samstag;370
0;Sonntag;372
1;Sonntag;260
2;Sonntag;256
3;Sonntag;160
4;Sonntag;73
5;Sonntag;64
6;Sonntag;83
7;Sonntag;155
8;Sonntag;299
9;Sonntag;687
10;Sonntag;1129
11;Sonntag;1760
12;Sonntag;2289
13;Sonntag;2511
14;Sonntag;2468
15;Sonntag;2450
16;Sonntag;2107
17;Sonntag;1754
18;Sonntag;977
19;Sonntag;574
20;Sonntag;499
21;Sonntag;318
22;Sonntag;284
23;Sonntag;158
0;Montag;120
1;Montag;68
2;Montag;31
3;Montag;21
4;Montag;35
5;Montag;100
6;Montag;539
7;Montag;1912
8;Montag;3674
9;Montag;1814
10;Montag;884
11;Montag;816
12;Montag;1043
13;Montag;1023
14;Montag;1056
15;Montag;1255
16;Montag;1650
17;Montag;3163
18;Montag;2801
19;Montag;1446
20;Montag;814
21;Montag;548
22;Montag;409
23;Montag;226
0;Dienstag;105
1;Dienstag;72
2;Dienstag;42
3;Dienstag;22
4;Dienstag;33
5;Dienstag;103
6;Dienstag;600
7;Dienstag;2133
8;Dienstag;3952
9;Dienstag;1771
10;Dienstag;846
11;Dienstag;728
12;Dienstag;928
13;Dienstag;1000
14;Dienstag;908
15;Dienstag;996
16;Dienstag;1416
17;Dienstag;2963
18;Dienstag;2768
19;Dienstag;1520
20;Dienstag;875
21;Dienstag;646
22;Dienstag;500
23;Dienstag;297
0;Mittwoch;121
1;Mittwoch;60
2;Mittwoch;37
3;Mittwoch;29
4;Mittwoch;33
5;Mittwoch;108
6;Mittwoch;587
7;Mittwoch;2055
8;Mittwoch;3979
9;Mittwoch;1865
10;Mittwoch;860
11;Mittwoch;737
12;Mittwoch;989
13;Mittwoch;1034
14;Mittwoch;912
15;Mittwoch;1061
16;Mittwoch;1504
17;Mittwoch;2826
18;Mittwoch;2672
19;Mittwoch;1499
20;Mittwoch;878
21;Mittwoch;679
22;Mittwoch;502
23;Mittwoch;295
0;Donnerstag;155
1;Donnerstag;72
2;Donnerstag;46
3;Donnerstag;42
4;Donnerstag;47
5;Donnerstag;104
6;Donnerstag;571
7;Donnerstag;1999
8;Donnerstag;3948
9;Donnerstag;1903
10;Donnerstag;952
11;Donnerstag;857
12;Donnerstag;1226
13;Donnerstag;1286
14;Donnerstag;1180
15;Donnerstag;1367
16;Donnerstag;1774
17;Donnerstag;2995
18;Donnerstag;2723
19;Donnerstag;1432
20;Donnerstag;896
21;Donnerstag;598
22;Donnerstag;508
23;Donnerstag;379
0;Freitag;252
1;Freitag;117
2;Freitag;67
3;Freitag;55
4;Freitag;53
5;Freitag;101
6;Freitag;499
7;Freitag;1713
8;Freitag;3406
9;Freitag;1713
10;Freitag;830
11;Freitag;795
12;Freitag;1011
13;Freitag;1057
14;Freitag;1048
15;Freitag;1079
16;Freitag;1473
17;Freitag;2637
18;Freitag;1974
19;Freitag;1120
20;Freitag;754
21;Freitag;509
22;Freitag;388
23;Freitag;396
0;Samstag;353
1;Samstag;243
2;Samstag;143
3;Samstag;129
4;Samstag;79
5;Samstag;86
6;Samstag;85
7;Samstag;208
8;Samstag;450
9;Samstag;774
10;Samstag;1007
11;Samstag;1287
12;Samstag;1607
13;Samstag;1629
14;Samstag;1596
15;Samstag;1570
16;Samstag;1448
17;Samstag;1428
18;Samstag;1126
19;Samstag;810
20;Samstag;535
21;Samstag;402
22;Samstag;479
23;Samstag;429
0;Sonntag;374
1;Sonntag;253
2;Sonntag;219
3;Sonntag;144
4;Sonntag;88
5;Sonntag;62
6;Sonntag;91
7;Sonntag;137
8;Sonntag;263
9;Sonntag;578
10;Sonntag;970
11;Sonntag;1256
12;Sonntag;1659
13;Sonntag;1608
14;Sonntag;1547
15;Sonntag;1586
16;Sonntag;1505
17;Sonntag;1440
18;Sonntag;1207
19;Sonntag;632
20;Sonntag;469
21;Sonntag;373
22;Sonntag;348
23;Sonntag;234
0;Montag;117
1;Montag;83
2;Montag;52
3;Montag;42
4;Montag;42
5;Montag;116
6;Montag;585
7;Montag;2033
8;Montag;3643
9;Montag;1823
10;Montag;928
11;Montag;853
12;Montag;1034
13;Montag;1051
14;Montag;1023
15;Montag;1133
16;Montag;1551
17;Montag;3077
18;Montag;2872
19;Montag;1587
20;Montag;916
21;Montag;636
22;Montag;402
23;Montag;253
0;Dienstag;149
1;Dienstag;69
2;Dienstag;47
3;Dienstag;41
4;Dienstag;49
5;Dienstag;103
6;Dienstag;659
7;Dienstag;2183
8;Dienstag;4124
9;Dienstag;1969
10;Dienstag;1045
11;Dienstag;1012
12;Dienstag;1230
13;Dienstag;1361
14;Dienstag;1278
15;Dienstag;1379
16;Dienstag;1840
17;Dienstag;3421
18;Dienstag;3087
19;Dienstag;1625
20;Dienstag;995
21;Dienstag;714
22;Dienstag;489
23;Dienstag;281
0;Mittwoch;143
1;Mittwoch;92
2;Mittwoch;54
3;Mittwoch;33
4;Mittwoch;64
5;Mittwoch;108
6;Mittwoch;640
7;Mittwoch;2168
8;Mittwoch;4093
9;Mittwoch;1913
10;Mittwoch;936
11;Mittwoch;916
12;Mittwoch;1077
13;Mittwoch;1054
14;Mittwoch;1075
15;Mittwoch;1147
16;Mittwoch;1618
17;Mittwoch;2962
18;Mittwoch;2716
19;Mittwoch;1538
20;Mittwoch;944
21;Mittwoch;686
22;Mittwoch;520
23;Mittwoch;340
0;Donnerstag;193
1;Donnerstag;150
2;Donnerstag;122
3;Donnerstag;53
4;Donnerstag;45
5;Donnerstag;87
6;Donnerstag;571
7;Donnerstag;1898
8;Donnerstag;3588
9;Donnerstag;1819
10;Donnerstag;1009
11;Donnerstag;852
12;Donnerstag;1178
13;Donnerstag;901
14;Donnerstag;673
15;Donnerstag;584
16;Donnerstag;864
17;Donnerstag;1560
18;Donnerstag;1369
19;Donnerstag;679
20;Donnerstag;386
21;Donnerstag;314
22;Donnerstag;204
23;Donnerstag;230
0;Freitag;130
1;Freitag;111
2;Freitag;76
3;Freitag;85
4;Freitag;42
5;Freitag;61
6;Freitag;121
7;Freitag;231
8;Freitag;368
9;Freitag;718
10;Freitag;1087
11;Freitag;1722
12;Freitag;2334
13;Freitag;2420
14;Freitag;2886
15;Freitag;2881
16;Freitag;2875
17;Freitag;2342
18;Freitag;1838
19;Freitag;912
20;Freitag;675
21;Freitag;468
22;Freitag;455
23;Freitag;398
0;Samstag;293
1;Samstag;219
2;Samstag;136
3;Samstag;79
4;Samstag;101
5;Samstag;81
6;Samstag;91
7;Samstag;162
8;Samstag;348
9;Samstag;601
10;Samstag;795
11;Samstag;1131
12;Samstag;1113
13;Samstag;950
14;Samstag;1144
15;Samstag;995
16;Samstag;803
17;Samstag;682
18;Samstag;329
0;Sonntag;179
11;Sonntag;687
12;Sonntag;626
13;Sonntag;668
14;Sonntag;553
15;Sonntag;1006
16;Sonntag;1071
17;Sonntag;1109
18;Sonntag;1015
19;Sonntag;664
20;Sonntag;153
21;Sonntag;154
22;Sonntag;156
23;Sonntag;82
0;Montag;56
1;Montag;34
2;Montag;21
3;Montag;34
4;Montag;33
5;Montag;14
6;Montag;47
7;Montag;47
8;Montag;65
9;Montag;169
10;Montag;410
11;Montag;615
12;Montag;889
13;Montag;1146
14;Montag;1300
15;Montag;1589
16;Montag;1283
17;Montag;342
18;Montag;638
19;Montag;491
20;Montag;307
21;Montag;274
22;Montag;240
23;Montag;172
0;Dienstag;115
1;Dienstag;73
2;Dienstag;67
3;Dienstag;27
4;Dienstag;44
5;Dienstag;96
6;Dienstag;448
7;Dienstag;1512
8;Dienstag;3126
9;Dienstag;1718
10;Dienstag;768
11;Dienstag;797
12;Dienstag;913
13;Dienstag;871
14;Dienstag;973
15;Dienstag;1053
16;Dienstag;1365
17;Dienstag;1710
18;Dienstag;1090
19;Dienstag;609
20;Dienstag;512
21;Dienstag;410
22;Dienstag;318
23;Dienstag;199
0;Mittwoch;109
1;Mittwoch;75
2;Mittwoch;52
3;Mittwoch;33
4;Mittwoch;36
5;Mittwoch;87
6;Mittwoch;545
7;Mittwoch;1727
8;Mittwoch;3572
9;Mittwoch;1710
10;Mittwoch;896
11;Mittwoch;880
12;Mittwoch;1063
13;Mittwoch;1178
14;Mittwoch;1081
15;Mittwoch;1162
16;Mittwoch;1540
17;Mittwoch;2941
18;Mittwoch;3189
19;Mittwoch;1894
20;Mittwoch;1111
21;Mittwoch;711
22;Mittwoch;533
23;Mittwoch;391
0;Donnerstag;164
1;Donnerstag;82
2;Donnerstag;94
3;Donnerstag;48
4;Donnerstag;30
5;Donnerstag;104
6;Donnerstag;533
7;Donnerstag;1890
8;Donnerstag;3635
9;Donnerstag;1929
10;Donnerstag;961
11;Donnerstag;967
12;Donnerstag;1259
13;Donnerstag;1344
14;Donnerstag;1280
15;Donnerstag;1306
16;Donnerstag;1739
17;Donnerstag;3170
18;Donnerstag;3206
19;Donnerstag;1842
20;Donnerstag;1001
21;Donnerstag;726
22;Donnerstag;600
23;Donnerstag;394
0;Freitag;216
1;Freitag;136
2;Freitag;100
3;Freitag;56
4;Freitag;53
5;Freitag;97
6;Freitag;495
7;Freitag;1630
8;Freitag;3485
9;Freitag;1911
10;Freitag;999
11;Freitag;1035
12;Freitag;1317
13;Freitag;1357
14;Freitag;1299
15;Freitag;1431
16;Freitag;1750
17;Freitag;3015
18;Freitag;2608
19;Freitag;1560
20;Freitag;855
21;Freitag;620
22;Freitag;586
23;Freitag;526
0;Samstag;363
1;Samstag;299
2;Samstag;238
3;Samstag;132
4;Samstag;102
5;Samstag;94
6;Samstag;108
7;Samstag;237
8;Samstag;480
9;Samstag;900
10;Samstag;1446
11;Samstag;2067
12;Samstag;2803
13;Samstag;2883
14;Samstag;3096
15;Samstag;3201
16;Samstag;2601
17;Samstag;1341
18;Samstag;748
19;Samstag;400
20;Samstag;187
21;Samstag;189
22;Samstag;218
23;Samstag;234
0;Sonntag;284
1;Sonntag;198
2;Sonntag;158
3;Sonntag;99
4;Sonntag;93
5;Sonntag;69
6;Sonntag;93
7;Sonntag;152
8;Sonntag;320
9;Sonntag;694
10;Sonntag;1365
11;Sonntag;2018
12;Sonntag;2620
13;Sonntag;2985
14;Sonntag;2696
15;Sonntag;2563
16;Sonntag;2586
17;Sonntag;2138
18;Sonntag;1735
19;Sonntag;643
20;Sonntag;458
21;Sonntag;387
22;Sonntag;339
23;Sonntag;248
0;Montag;158
1;Montag;88
2;Montag;59
3;Montag;43
4;Montag;60
5;Montag;94
6;Montag;541
7;Montag;1791
8;Montag;3639
9;Montag;1782
10;Montag;838
11;Montag;841
12;Montag;902
13;Montag;1020
14;Montag;1013
15;Montag;1012
16;Montag;1352
17;Montag;2582
18;Montag;3074
19;Montag;1738
20;Montag;1065
21;Montag;646
22;Montag;470
23;Montag;301
0;Dienstag;171
1;Dienstag;88
2;Dienstag;55
3;Dienstag;43
4;Dienstag;55
5;Dienstag;100
6;Dienstag;666
7;Dienstag;2040
8;Dienstag;4061
9;Dienstag;1939
10;Dienstag;1024
11;Dienstag;935
12;Dienstag;1268
13;Dienstag;1387
14;Dienstag;1319
15;Dienstag;1391
16;Dienstag;1933
17;Dienstag;3579
18;Dienstag;3606
19;Dienstag;2193
20;Dienstag;1172
21;Dienstag;739
22;Dienstag;512
23;Dienstag;299
0;Mittwoch;146
1;Mittwoch;100
2;Mittwoch;59
3;Mittwoch;41
4;Mittwoch;43
5;Mittwoch;89
6;Mittwoch;599
7;Mittwoch;1807
8;Mittwoch;3221
9;Mittwoch;1409
10;Mittwoch;715
11;Mittwoch;816
12;Mittwoch;952
13;Mittwoch;818
14;Mittwoch;840
15;Mittwoch;896
16;Mittwoch;1496
17;Mittwoch;2966
18;Mittwoch;2930
19;Mittwoch;1747
20;Mittwoch;915
21;Mittwoch;640
22;Mittwoch;443
23;Mittwoch;314
0;Donnerstag;161
1;Donnerstag;78
2;Donnerstag;75
3;Donnerstag;41
4;Donnerstag;37
5;Donnerstag;94
6;Donnerstag;540
7;Donnerstag;1864
9;Donnerstag;1748
10;Donnerstag;754
11;Donnerstag;682
12;Donnerstag;763
13;Donnerstag;636
14;Donnerstag;515
15;Donnerstag;826
16;Donnerstag;1362
17;Donnerstag;2017
18;Donnerstag;2358
19;Donnerstag;1457
20;Donnerstag;825
21;Donnerstag;643
22;Donnerstag;518
23;Donnerstag;364
0;Freitag;183
1;Freitag;151
2;Freitag;60
3;Freitag;41
4;Freitag;50
5;Freitag;87
6;Freitag;525
7;Freitag;1749
